record_type,doc_type,doc_type_description,class_code_description,party1_type,party2_type,party3_type
D,AGMT,AGREEMENT,MORTGAGES & INSTRUMENTS,PARTY 1,PARTY 2,NA
D,AMFL,AMENDMENT OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,ASPM,ASSUMPTION OF MORTGAGE,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,ASST,"ASSIGNMENT, MORTGAGE",MORTGAGES & INSTRUMENTS,ASSIGNOR/OLD LENDER,ASSIGNEE/NEW LENDER,NA
D,ASTU,UNIT ASSIGNMENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,ASUM,UCC3 ASSUMPTION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,BOND,BOND,OTHER DOCUMENTS,DEBTOR,SECURED PARTY,NA
D,BRUP,UCC3 BANKRUPTCY,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,CERR,CERTIFICATE OF REDUCTION,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,CNFL,CONTINUATION OF FEDERAL LIEN,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,CERT,CERTIFICATE,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,CNTR,CONTRACT OF SALE,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,CODP,CONDEMNATION PROCEEDINGS,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2,NA
D,CONS,CONSENT,OTHER DOCUMENTS,PARTY 1,NA,NA
D,CONT,UCC3 CONTINUATION,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,CTOR,COURT ORDER,OTHER DOCUMENTS,PARTY 1/GRANTOR,PARTY 2/GRANTEE,NA
D,DCTO,COURT ORDER ADVERSE POSS.,DEEDS AND OTHER CONVEYANCES,PARTY 1,PARTY 2,NA
D,DECL,DECLARATION,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,DEED,DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,DEMM,DECLARATION OF MODIFI OF MRT,MORTGAGES & INSTRUMENTS,MORTGAGER/BORROWER,MORTGAGEE/LENDER,NA
D,DTL,DISCHARGE OF TAX LIEN,OTHER DOCUMENTS,SECURED PARTY,NA,NA
D,EASE,EASEMENT,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,FL,FEDERAL LIEN-IRS,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,FTL,"FEDERAL LIEN, OTHER",UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,NA
D,IDED,IN REM DEED,DEEDS AND OTHER CONVEYANCES,GRANTOR/SELLER,GRANTEE/BUYER,NA
D,INIC,INITIAL COOP UCC1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,ASSIGNEE
D,INIT,INITIAL UCC1,UCC AND FEDERAL LIENS,DEBTOR,SECURED PARTY,ASSIGNEE
D,JUDG,JUDGMENT,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
D,LDMK,LANDMARK DESIGNATION,OTHER DOCUMENTS,PARTY 1,PARTY 2,NA
