land_use_code,land_use_category,has_residential,pretty_land_use_category
01,one_two_fam,TRUE,One & Two Family Buildings
02,multi_fam_walkup,TRUE,Multi-Family Walk-Up Buildings
03,multi_fam_elevator,TRUE,Multi-Family Elevator Buildings
04,mixed_resid_commercial,TRUE,Mixed Residential & Commercial Buildings
05,commercial_and_office,FALSE,Commercial & Office Buildings
06,industrial_and_manufacturing,FALSE,Industrial & Manufacturing
07,transportation_and_utility,FALSE,Transportation & Utility
08,public_facilities,FALSE,Public Facilities & Institutions
09,open_space_recreation,FALSE,Open Space & Outdoor Recreation
10,parking,FALSE,Parking Facilities
11,vacant,FALSE,Vacant Land
